t	X_sc	U	Y_z_pred	Y_u_sc
240	-0.187,-1.187,-2.183,-2.9990000000000006,-3.2	4.0,-0.01749999999999996,3.9613331018866473	-20.05583941936493,-118.68911981582642,-218.32823753356934,-299.95367527008057,-319.36943531036377	1.1706956624984741,1.1905831098556519,1.1837013959884644,0.9381791353225708,0.41658568382263184
240	-0.2005583941936493,-1.1868911981582642,-2.1832823753356934,-2.9995367527008057,-3.1936943531036377	3.93,-0.01750000000000007,4.0	-21.092160046100616,-119.17680501937866,-218.32823753356934,-299.77080821990967,-319.1256046295166	1.1663447618484497,1.1836711168289185,1.185288906097412,0.932774007320404,0.4198668301105499
240	-0.21092160046100616,-1.1917680501937866,-2.1832823753356934,-2.9977080821990967,-3.191256046295166	3.86,-0.01749999999999996,4.0	-22.09800034761429,-119.8473572731018,-218.45016479492188,-299.6793508529663,-318.85130405426025	1.1612567901611328,1.1764976978302002,1.1823503971099854,0.9325511455535889,0.41894638538360596
240	-0.22098000347614288,-1.198473572731018,-2.1845016479492188,-2.996793508529663,-3.1885130405426025	3.79,-0.01749999999999996,4.0	-23.10384064912796,-120.67033052444458,-218.7854528427124,-299.5269536972046,-318.6074495315552	1.1559168100357056,1.1710785627365112,1.177651047706604,0.9295716285705566,0.41813069581985474
240	-0.2310384064912796,-1.2067033052444458,-2.187854528427124,-2.995269536972046,-3.1860744953155518	3.72,-0.01750000000000007,4.0	-24.109680950641632,-121.55424356460571,-219.334077835083,-299.5269536972046,-318.3331251144409	1.1503145694732666,1.1656793355941772,1.1731630563735962,0.925588846206665,0.4172160029411316
240	-0.24109680950641632,-1.2155424356460571,-2.19334077835083,-2.995269536972046,-3.183331251144409	3.65,-0.01749999999999996,4.0	-25.14599859714508,-122.46865034103394,-219.97416019439697,-299.58794116973877,-318.2111978530884	1.1449326276779175,1.1599788665771484,1.1678822040557861,0.919560968875885,0.41681036353111267
240	-0.2514599859714508,-1.2246865034103394,-2.1997416019439697,-2.9958794116973877,-3.182111978530884	3.58,0.012499999999999956,4.0	-25.054562091827393,-123.47449064254761,-220.76663970947266,-299.77080821990967,-318.1807279586792	1.15945565700531,1.154584288597107,1.1630927324295044,0.9132344722747803,0.4167090952396393
240	-0.2505456209182739,-1.234744906425476,-2.2076663970947266,-2.9977080821990967,-3.181807279586792	3.63,0.03500000000000003,4.0	-23.774398863315582,-124.14504289627075,-221.58961296081543,-300.0756025314331,-318.3635950088501	1.182599425315857,1.155009150505066,1.1573679447174072,0.9063299894332886,0.4173174202442169
240	-0.23774398863315582,-1.2414504289627075,-2.2158961296081543,-3.000756025314331,-3.183635950088501	3.77,0.03749999999999998,4.0	-22.00656086206436,-124.14504289627075,-222.4125623703003,-300.5023241043091,-318.7293529510498	1.1996337175369263,1.1647855043411255,1.153613567352295,0.8998664021492004,0.4185381531715393
240	-0.22006560862064362,-1.2414504289627075,-2.224125623703003,-3.005023241043091,-3.187293529510498	3.92,0.03499999999999992,4.0	-20.17776072025299,-123.41351509094238,-222.991681098938,-301.0814428329468,-319.27802562713623	1.2115073204040527,1.1779391765594482,1.154584527015686,0.8948013782501221,0.42037951946258545
